timestamp,Open,High,Low,Close,Volume,OI Open,OI High,OI Low,OI Close,FR Open,FR High,FR Low,FR Close
2022-08-11,23951.5,24929.5,23858.0,23937.5,42368.23561587,433350425.0,447270101.0,426338826.0,434462221.0,0.01,0.01,0.01,0.01
2022-08-12,23937.5,24442.0,23567.5,24392.0,26825.973705,434462221.0,463362249.0,433660083.0,463324635.0,0.01,0.01,0.01,0.01
2022-08-13,24392.0,24883.5,24291.0,24421.5,23601.53512502,463324635.0,470709664.0,450726604.0,458834247.0,0.01,0.01,0.01,0.01
2022-08-14,24421.5,25042.5,24132.5,24297.5,22889.10923664,458834247.0,475058025.0,457565949.0,473809039.0,0.01,0.01,0.01,0.01
2022-08-15,24297.5,25211.0,23748.0,24076.5,42090.56932047,473809039.0,499240068.0,461872467.0,481916370.0,0.01,0.01,0.01,0.01
2022-08-16,24076.5,24231.0,23645.0,23846.5,27617.91208711,481916370.0,505209463.0,475537141.0,486424897.0,0.01,0.01,0.01,0.01
2022-08-17,23846.5,24439.0,23161.0,23319.5,41307.46178932,486424897.0,504526915.0,480210485.0,504202505.0,0.01,0.01,0.01,0.01
2022-08-18,23319.5,23584.0,23084.5,23183.0,18663.28824092,504202505.0,515908785.0,495133513.0,497680293.0,0.01,0.01,-0.0211,0.0055
2022-08-19,23183.0,23192.5,20751.0,20812.5,76016.72346704,497680293.0,500486783.0,459320452.0,460923127.0,0.0055,0.01,-0.0295,-0.0138
2022-08-20,20812.5,21353.0,20759.0,21127.0,34410.1253985,460923127.0,471660794.0,442509557.0,455866744.0,-0.0138,0.01,-0.0949,-0.0051
2022-08-21,21127.0,21798.5,21042.0,21508.5,31655.9374969,455866744.0,466310857.0,439867978.0,458281434.0,-0.0051,0.01,-0.0256,-0.0089
2022-08-22,21508.5,21536.5,20874.5,21383.5,36980.18866177,458281434.0,469607048.0,445751351.0,453908657.0,-0.0089,0.01,-0.0461,0.0066
